ID;Вода,г;белки,г;жиры,г;НЖК,г;ПНЖК,г;Холестерин,г;Моно-дисахариды,г;Крахмал,г;Углеводы,г;Пищ.волокна,г;Орг.кислоты,г;Зола,г;Na (натрий),мг;K (калий),мг;Ca (кальций),мг;Mg (магний),мг;P,мг;Fe (железо),мг;A,мкг;Бета-каротин,мкг;Ретиноловый эквивалент,мкг;Токоферолэквивалент,мкг;B1,мг;B2,мг;PP,мг;Ниациновый эквивалент,мкг;C,мкг;Алкоголь,%;ЭЦ,ккал
54-503-022-02;4298,685564;817858,2466;536803,2421;369214,1584;1376,977001;11199,10775;101612,4944;345102,7416;54535,44229;205848,6521;1066914,446;1147975,739;72911,4855;39448,57859;19522,70769;40526,50659;23353,84717;984545,3985;5612,687962;7988,639809;13040,76494;639932,0938;6132194,844;4934061,915;1027952,556;330856,783;77060,78593;28620,12012;6746,681817
54-502-006-01;4930,026189;472269,9807;530249,078;533878,7938;1934,331665;7871,678437;214154,8781;462640,2717;105420,6853;141438,3389;724175,5129;813010,0408;38429,64548;35237,8507;16975,43199;27132,46687;14412,50476;526145,2091;4326,533598;4149,04423;16468,03985;627818,0011;6027498,319;5154492,379;659835,9252;332539,3455;73541,46094;6791,363636;6548,530661
54-502-003-01;4810,527304;456652,8107;572186,4081;555800,0353;1011,321605;15895,07071;449615,7022;642594,8857;267860,9944;459415,5535;985364,713;675380,8042;36972,54341;21069,89021;24344,01209;29980,62276;13937,3912;530593,0252;6808,689749;5521,882583;22302,94592;1056033,108;10168343,4;6002565,693;707595,4339;411347,8145;57663,70104;4895,495495;7040,649659
54-502-003-02;5856,712135;277696,9223;715814,1598;650526,3788;1008,376651;8084,079708;394473,5633;745856,399;222147,2597;301434,3871;1055507,736;862967,4757;19906,09538;59251,95803;18447,00949;25597,83735;10976,9311;554465,4699;3249,683219;5553,429336;17288,74863;921831,7604;9159982,853;7174903,849;840905,6694;419938,4042;72942,9916;8933,333333;7980,388565
54-502-005-02;8368,462192;1260618,733;320236,7103;508453,798;1285,937988;17286,03354;405306,6848;259548,815;142481,8994;249589,7618;878337,9535;1625936,77;124058,5692;46956,44863;36065,34033;60079,51136;33604,00858;958523,2652;9536,189854;6120,516176;11238,12177;696673,1899;6700725,307;5097108,039;774951,0915;260269,0129;89267,11487;2453,525799;7785,008827
54-102-243-01;5548,862418;721695,8266;367706,0313;494356,1326;446,6666667;6662,450965;187767,4488;294378,3439;106433,6214;229834,0148;485670,9694;1173347,51;75083,9466;63167,11578;23964,94034;39071,89846;20171,4234;383103,6424;2896,585786;1384,517205;7801,134963;528608,127;4439949,301;3572897,677;355345,6133;211634,6821;30935,70904;0;5029,600882
54-501-043-01;7530,760908;724096,4421;1236280,405;1430682,295;446,6666667;14365,50262;349889,5415;1723757,66;196242,2994;213898,6497;1068227,667;1274144,127;48660,92557;36159,37392;24037,48317;36218,43327;28365,36974;717636,0955;3794,452808;5796,122661;27791,47781;919980,973;14406663,94;11522305,08;1224731,687;713841,622;77541,95146;2233,333333;12734,70216
54-002-164-01;9729,685541;486630,0666;827196,7064;738736,5043;859,9678899;11537,637;403396,3194;849904,6516;166974,7412;205630,3463;1043915,651;1083222,357;33080,79945;61436,70461;23585,39184;37033,81065;16031,74864;773955,1368;6756,140646;8862,323635;22666,50803;922329,5853;9899479,088;9009294,098;1007376,567;434782,3129;100484,1538;0;9547,046748
54-502-007-01;5829,1918;185580,9398;691706,6995;580956,4866;718,1661981;19007,97466;208134,2808;542189,7387;104185,1732;190326,2991;1448892,314;569846,4841;14928,51785;33906,09909;12539,34225;25562,76332;7351,923946;994007,2676;8508,76777;8423,063104;15819,25157;996353,2781;8074657,41;6549123,497;1320958,474;429723,8818;162907,6685;14300;6698,604609
54-502-013-01;7128,597297;838241,4193;679480,0817;473196,8831;6853,032789;13507,04083;272776,2911;439957,8164;152308,3135;162766,1612;666108,3342;1397594,005;77231,579;63940,42563;25062,51087;45325,77593;24929,90104;864405,0182;6480,610771;4669,883448;16491,05312;806831,9438;6489185,28;6219293,479;810479,0975;380636,6241;72927,98157;7419,488636;8101,651592
54-502-015-01;7027,2617;1104512,09;1083976,965;1306652,423;2439,522814;9965,877344;411455,9239;1202420,096;216106,3628;281015,4841;1036556,435;1590955,295;90553,61679;39565,25028;33358,09397;50746,68662;33123,31289;768455,8528;4710,320339;5953,888911;32055,78018;948533,8067;10871448,38;9838205,309;1186490,44;671519,2582;64610,14444;42991,36364;13706,78894
